фсб - uah => -22921955,usd=>249200, eur=>0 
доми - uah => -12001417.6,usd=>0, eur=>0 
херольд - uah => -8040000.01,usd=>0, eur=>0 
наташа овсиен - uah => -7086660,usd=>308496.62, eur=>0 
транзит - uah => -6086595.42,usd=>0, eur=>0 
пфм капитал - uah => -5086113.67,usd=>0, eur=>0 
ннал киев фсб - uah => -3302787,usd=>107723, eur=>-81030 
сигма касса снятие - uah => -3000000,usd=>0, eur=>0 
гбв - uah => -2276654,usd=>0, eur=>0 
максим киев - uah => -1647900,usd=>143275.97, eur=>11492.69 
денис - uah => 1529212.24,usd=>0, eur=>0 
Миша РИГА - uah => 1372550.83,usd=>-127716.52, eur=>0 
ол - uah => -1423384,usd=>0, eur=>0 
марина киев - uah => 1182976.54,usd=>0, eur=>0 
киев - uah => -1080000,usd=>44000, eur=>3715 
миша грн - uah => 1033712.61,usd=>0, eur=>0 
аня - uah => 771724.24,usd=>-247181.97, eur=>0 
бук - uah => 989563,usd=>0, eur=>0 
олигарх888 - uah => 846226.32,usd=>-600, eur=>0 
ал - uah => 808844.24,usd=>0, eur=>0 
дима филиал - uah => -472693.18,usd=>58332.13, eur=>0.01 
юг сталь - uah => -504887.76,usd=>0, eur=>0 
куа жизнь1 - uah => -476241.74,usd=>0, eur=>0 
лира - uah => 463795.94,usd=>0, eur=>0 
макс вал - uah => 327680,usd=>-35008.62, eur=>0 
сигма - uah => 357323.400000006,usd=>0, eur=>0 
неп - uah => -353052.23,usd=>0, eur=>0 
майя - uah => -287633.23,usd=>1000, eur=>0 
3гена полт - uah => -261003.24,usd=>-21855, eur=>0 
игорь депозит - uah => 0,usd=>-250000, eur=>0 
удобрения киев - uah => -241801.58,usd=>0, eur=>0 
прип - uah => 184900,usd=>53303.57, eur=>1000 
ренефилд - uah => -219159,usd=>-6151, eur=>0 
спарта - uah => -216869.52,usd=>0, eur=>0 
металлком - uah => -173098.3,usd=>0, eur=>0 
человечки - uah => 0,usd=>-161059.2, eur=>0 
дэвз денис - uah => -160718.5,usd=>0, eur=>0 
макс грн - uah => -157898.89,usd=>0, eur=>0 
сет - uah => -139691,usd=>3866.96, eur=>0 
морк - uah => 138599.57,usd=>0, eur=>0 
алла ремстрой - uah => 123502.19,usd=>0, eur=>0 
оранж - uah => -121979.330000006,usd=>0, eur=>0 
союз - uah => 114448.55,usd=>0, eur=>0 
самойл - uah => 108673,usd=>0, eur=>0 
торгсервис - uah => 103571.85,usd=>0, eur=>0 
